HSG*> up
Reader: Study Reader 1   Site: RD1
--------- Upload #5, 261 records ---------
DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA	TCH	ANT	EMP	TSS	SPV	NOI	CLS
S	2021-08-01 14:07:47.100	G	00:00:06.000	R	0000_0000000168273013	RD1	61	0.9	HDX	A1	135	473/761	1304.5	373	 E 
S	2021-08-01 14:08:13.500	G	00:00:03.800	A	900_230000009506	RD1	39	0.8	HDX	A1	203	500/568	1304.5	391	 C 
S	2021-08-01 14:08:20.300	G	00:00:02.300	A	900_230000009506	RD1	24	0.8	HDX	A1	29	506/527	1305.0	373	 C 
S	2021-08-01 14:09:02.500	G	00:00:05.100	A	900_226000584318	RD1	52	0.8	HDX	A1	398	530/700	1307.5	385	 A 
S	2021-08-01 14:09:09.200	G	00:00:01.300	A	900_226000584318	RD1	14	0.9	HDX	A1	15	522/556	1304.0	385	 A 
S	2021-08-01 14:09:21.300	G	00:00:07.700	R	0000_0000000168273013	RD1	78	0.8	HDX	A1	107	472/848	1305.0	374	 E 
S	2021-08-01 14:09:30.900	G	00:00:01.500	R	0000_0000000168273013	RD1	16	0.8	HDX	A1	18	470/494	1306.5	370	 E 
S	2021-08-01 14:09:41.100	G	00:00:00.900	A	900_230000009506	RD1	10	0.9	HDX	A1	86	538/590	1305.0	430	 C 
S	2021-08-01 14:09:44.100	G	00:00:02.800	A	900_230000009506	RD1	29	0.8	HDX	A1	20	518/677	1305.0	385	 C 
S	2021-08-01 14:09:48.400	G	00:00:06.000	A	900_230000009506	RD1	61	0.8	HDX	A1	14	497/534	1304.0	374	 C 
S	2021-08-01 14:10:26.700	G	00:00:01.600	A	900_226000584318	RD1	17	0.9	HDX	A1	322	552/633	1305.5	400	 A 
S	2021-08-01 14:10:30.000	G	00:00:00.900	A	900_226000584318	RD1	10	0.8	HDX	A1	16	488/588	1305.0	375	 A 
S	2021-08-01 14:10:33.300	G	00:00:01.100	A	900_226000584318	RD1	12	0.8	HDX	A1	23	524/572	1305.0	395	 A 
S	2021-08-01 14:10:38.000	G	00:00:01.900	A	900_226000584318	RD1	20	0.8	HDX	A1	35	497/667	1304.5	387	 A 
S	2021-08-01 14:10:41.600	G	00:00:03.900	A	900_226000584318	RD1	40	0.8	HDX	A1	16	524/627	1305.5	397	 A 
S	2021-08-01 14:10:47.200	G	00:00:01.000	A	900_226000584318	RD1	11	0.8	HDX	A1	16	503/603	1304.0	390	 A 
S	2021-08-01 14:10:50.900	G	00:00:00.700	A	900_226000584318	RD1	8	0.8	HDX	A1	26	493/531	1305.5	392	 A 
S	2021-08-01 14:11:00.200	G	00:00:13.500	R	0000_0000000168273013	RD1	136	0.8	HDX	A1	85	467/756	1305.0	371	 E 
S	2021-08-01 14:11:22.100	G	00:00:06.400	A	900_230000009506	RD1	65	0.8	HDX	A1	83	494/856	1308.0	370	 C 
S	2021-08-01 14:11:31.400	G	00:00:00.200	A	900_230000009506	RD1	3	0.9	HDX	A1	28	508/521	1307.5	400	 C 
S	2021-08-01 14:11:34.400	G	00:00:00.000	A	900_230000009506	RD1	1	0.8	HDX	A1	27	471/471	1307.0	365	 C 
S	2021-08-01 14:11:36.600	G	00:00:00.000	A	900_230000009506	RD1	1	0.9	HDX	A1	21	519/519	1306.0	381	 C 
S	2021-08-01 22:33:29.200	G	00:00:05.000	A	900_230000209850	RD1	51	0.8	HDX	A1	65534	446/763	1282.5	329	 C 
S	2021-08-04 13:03:15.100	G	00:00:00.900	A	900_226001617398	RD1	10	0.8	HDX	A1	65534	567/599	1323.0	293	 H 
S	2021-08-04 21:21:52.700	G	00:00:01.800	A	900_226001617386	RD1	19	0.7	HDX	A1	65534	466/611	1283.5	378	 H 
S	2021-08-05 01:21:34.000	G	00:00:04.400	A	900_230000056311	RD1	45	0.7	HDX	A1	65534	460/692	1277.5	347	 C 
S	2021-08-05 03:31:55.300	G	00:00:02.500	A	900_228000369309	RD1	26	0.7	HDX	A1	65534	428/710	1274.5	358	 B 
S	2021-08-05 03:31:59.300	G	00:00:02.500	A	900_228000369309	RD1	26	0.7	HDX	A1	14	505/704	1222.5	356	 B 
S	2021-08-05 05:01:58.800	G	00:00:00.000	A	900_226001617661	RD1	1	0.7	HDX	A1	53969	528/528	1272.5	395	 H 
S	2021-08-05 05:02:01.400	G	00:00:00.100	A	900_226001617661	RD1	2	0.7	HDX	A1	25	453/566	1273.0	374	 H 
S	2021-08-05 05:28:48.600	G	00:00:01.800	A	900_226001617661	RD1	19	0.7	HDX	A1	16070	476/668	1272.0	409	 H 
S	2021-08-06 05:08:01.000	G	00:00:00.500	A	900_226001617661	RD1	6	0.7	HDX	A1	65534	478/570	1274.5	347	 H 
S	2021-08-06 05:08:03.500	G	00:00:00.600	A	900_226001617661	RD1	7	0.7	HDX	A1	19	477/648	1275.0	356	 H 
S	2021-08-06 09:39:48.800	G	00:00:00.200	A	900_226001617386	RD1	3	0.9	HDX	A1	65534	507/508	1367.5	378	 H 
S	2021-08-06 09:39:51.300	G	00:00:00.100	A	900_226001617386	RD1	2	0.8	HDX	A1	22	457/471	1368.0	340	 H 
S	2021-08-07 00:29:35.600	G	00:00:04.500	A	900_228000586498	RD1	46	0.7	HDX	A1	65534	451/679	1279.5	369	 B 
S	2021-08-07 00:32:23.500	G	00:00:00.900	A	900_228000586498	RD1	10	0.7	HDX	A1	1633	439/552	1280.0	333	 B 
S	2021-08-07 00:37:09.200	G	00:00:04.200	A	900_228000586498	RD1	43	0.7	HDX	A1	2847	478/677	1279.5	354	 B 
