>UP
UP
Upload #9
Reader: Noname  Site: SE3
--------- upload 9 start ---------
Type,Date,Time,Duration,Type,Tag ID,Count,Gap
D,2021-01-19,10:11:22.71,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:11:23.02,00:00:00.00,HA,900_226000923049,1,2
D,2021-01-19,10:11:23.32,00:00:00.10,HA,900_226000923049,2,2
D,2021-01-19,10:11:23.62,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:11:23.83,00:00:00.00,HA,900_226000923049,1,1
D,2021-01-19,10:11:24.03,00:00:01.82,HA,900_226000923049,19,1
D,2021-01-19,10:11:26.06,00:00:00.61,HA,900_226000923049,7,1
D,2021-01-19,10:11:26.87,00:00:00.10,HA,900_226000923049,2,1
D,2021-01-19,10:11:27.48,00:00:00.51,HA,900_226000923049,6,4
D,2021-01-19,10:11:28.49,00:00:00.00,HA,900_226000923049,1,4
D,2021-01-21,05:15:20.11,00:00:00.00,HA,900_226001032275,1,
D,2021-01-21,23:07:59.41,00:00:00.20,HA,900_226001032123,3,
D,2021-01-21,23:07:59.81,00:00:00.00,HA,900_226001032123,1,1
D,2021-01-22,01:20:30.28,00:00:00.00,HA,900_226001032119,1,
D,2021-01-22,05:16:38.78,00:00:00.10,HA,900_226001032114,2,
D,2021-01-23,00:34:59.53,00:00:00.00,HA,900_226001032119,1,
D,2021-01-23,00:47:13.77,00:00:00.10,HA,900_226001032115,2,7295
D,2021-01-23,02:42:08.01,00:00:00.00,HA,900_226001032139,1,
D,2021-01-23,02:42:08.21,00:00:00.00,HA,900_226001032139,1,1
D,2021-01-23,02:42:08.52,00:00:00.00,HA,900_226001032139,1,2
D,2021-01-23,11:37:01.45,00:00:00.20,HA,900_226001032114,3,
D,2021-01-23,11:37:01.85,00:00:00.11,HA,900_226001032114,2,1
D,2021-01-23,11:37:02.16,00:00:00.10,HA,900_226001032114,2,1
D,2021-01-23,11:37:02.86,00:00:00.31,HA,900_226001032114,4,5
D,2021-01-23,20:03:23.95,00:00:00.00,HA,900_226001032149,1,
D,2021-01-23,20:03:24.26,00:00:00.31,HA,900_226001032149,4,2
D,2021-01-23,20:03:24.87,00:00:00.00,HA,900_226001032149,1,2
D,2021-01-23,21:54:28.19,00:00:00.00,HA,900_226001032275,1,
D,2021-01-23,21:56:47.21,00:00:00.00,HA,900_226001032275,1,1380
D,2021-01-23,21:56:47.71,00:00:00.00,HA,900_226001032275,1,4
D,2021-01-23,21:56:49.84,00:00:00.00,HA,900_226001032275,1,20
D,2021-01-23,21:56:50.04,00:00:00.00,HA,900_226001032275,1,1
D,2021-01-23,21:56:50.25,00:00:00.00,HA,900_226001032275,1,1
