"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-08-11 13:40:29	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.9	"HDX"	"A1"	216	"457/457"	1377	317	" A "
"S"	2020-08-11 13:40:31	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.9	"HDX"	"A1"	14	"461/461"	1375.5	325	" A "
"S"	2020-08-11 13:40:35	"G"	00:00:00.6	"A"	"900_226000584318"	"upstream"	7	0.9	"HDX"	"A1"	36	"462/467"	1377.5	330	" A "
"S"	2020-08-11 13:41:19	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.8	"HDX"	"A1"	438	"529/529"	1370	348	" A "
"S"	2020-08-11 13:41:21	"G"	00:00:00.6	"A"	"900_226000584318"	"upstream"	7	0.8	"HDX"	"A1"	14	"467/507"	1371.5	324	" A "
"S"	2020-08-11 13:41:23	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	14	"464/464"	1374	323	" A "
"S"	2020-08-11 13:41:26	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	30	"437/437"	1370.5	316	" A "
"S"	2020-08-11 13:41:29	"G"	00:00:00.3	"A"	"900_226000584318"	"upstream"	4	0.9	"HDX"	"A1"	27	"424/431"	1370	313	" A "
"S"	2020-08-11 13:42:01	"G"	00:00:03.6	"R"	"0000_0000000168273013"	"upstream"	37	1	"HDX"	"A1"	319	"479/570"	1376	323	" E "
"S"	2020-08-11 13:42:15	"G"	00:00:00.8	"R"	"0000_0000000168273013"	"upstream"	9	0.9	"HDX"	"A1"	106	"482/497"	1373	330	" E "
"S"	2020-08-11 13:42:21	"G"	00:00:00.4	"R"	"0000_0000000168273013"	"upstream"	5	0.9	"HDX"	"A1"	46	"507/519"	1376	336	" E "
"S"	2020-08-11 13:42:48	"G"	00:00:01.4	"A"	"900_230000009506"	"upstream"	15	0.9	"HDX"	"A1"	266	"534/547"	1372.5	346	" C "
"S"	2020-08-11 13:42:55	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	58	"456/456"	1379	321	" C "
"S"	2020-08-11 13:42:58	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	27	"460/460"	1379.5	313	" C "
"S"	2020-08-11 13:43:37	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	387	"557/557"	1374	364	" C "
"S"	2020-08-11 13:43:38	"G"	00:00:00.3	"A"	"900_230000009506"	"upstream"	4	1	"HDX"	"A1"	16	"521/529"	1375	347	" C "
"S"	2020-08-11 13:43:42	"G"	00:00:00.3	"A"	"900_230000009506"	"upstream"	4	0.9	"HDX"	"A1"	30	"489/493"	1373	332	" C "
"S"	2020-08-11 13:43:44	"G"	00:00:01.3	"A"	"900_230000009506"	"upstream"	14	1	"HDX"	"A1"	22	"450/459"	1375.5	325	" C "
"S"	2020-08-11 13:43:49	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	31	"468/468"	1374.5	330	" C "
"S"	2020-08-11 13:44:18	"G"	00:00:03.3	"A"	"900_226000584318"	"upstream"	34	1	"HDX"	"A1"	294	"470/529"	1377	326	" A "
"S"	2020-08-11 13:44:55	"G"	00:00:01.3	"A"	"900_226000584318"	"upstream"	14	1	"HDX"	"A1"	336	"459/517"	1376.5	342	" A "
"S"	2020-08-11 13:44:58	"G"	00:00:00.7	"A"	"900_226000584318"	"upstream"	8	0.8	"HDX"	"A1"	17	"456/492"	1376	310	" A "
"S"	2020-08-11 13:45:35	"G"	00:00:02.5	"R"	"0000_0000000168273013"	"upstream"	26	1	"HDX"	"A1"	358	"460/536"	1372	315	" E "
"S"	2020-08-11 13:45:46	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	80	"480/480"	1373	333	" E "
"S"	2020-08-11 13:45:47	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	17	"452/452"	1373.5	311	" E "
