"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2021-08-01 14:21:37	"G"	00:00:05.1	"A"	"900_226000584318"	"downstream"	52	0.8	"HDX"	"A1"	409	"429/626"	1301	306	" A "
"S"	2021-08-01 14:21:45	"G"	00:00:01.2	"A"	"900_226000584318"	"downstream"	13	0.8	"HDX"	"A1"	20	"418/450"	1300.5	301	" A "
"S"	2021-08-01 14:21:55	"G"	00:00:03.0	"R"	"0000_0000000168273013"	"downstream"	31	0.8	"HDX"	"A1"	94	"436/667"	1300.5	319	" E "
"S"	2021-08-01 14:22:00	"G"	00:00:01.4	"R"	"0000_0000000168273013"	"downstream"	15	0.8	"HDX"	"A1"	15	"438/459"	1299.5	311	" E "
"S"	2021-08-01 14:22:07	"G"	00:00:02.7	"A"	"900_230000009506"	"downstream"	28	0.8	"HDX"	"A1"	56	"414/465"	1300.5	314	" C "
"S"	2021-08-01 14:22:11	"G"	00:00:00.3	"A"	"900_230000009506"	"downstream"	4	0.8	"HDX"	"A1"	17	"424/424"	1300	292	" C "
"S"	2021-08-01 14:22:13	"G"	00:00:01.8	"A"	"900_230000009506"	"downstream"	19	0.8	"HDX"	"A1"	14	"415/433"	1300	297	" C "
"S"	2021-08-01 14:22:43	"G"	00:00:00.9	"A"	"900_226000584318"	"downstream"	10	0.8	"HDX"	"A1"	281	"435/492"	1299.5	326	" A "
"S"	2021-08-01 14:22:46	"G"	00:00:01.7	"A"	"900_226000584318"	"downstream"	18	0.8	"HDX"	"A1"	18	"412/448"	1300.5	297	" A "
"S"	2021-08-01 14:22:57	"G"	00:00:06.6	"R"	"0000_0000000168273013"	"downstream"	67	0.8	"HDX"	"A1"	96	"417/510"	1300	300	" E "
"S"	2021-08-01 14:23:06	"G"	00:00:00.9	"R"	"0000_0000000168273013"	"downstream"	10	0.8	"HDX"	"A1"	23	"431/435"	1300.5	313	" E "
"S"	2021-08-01 14:23:17	"G"	00:00:04.6	"A"	"900_230000009506"	"downstream"	47	0.8	"HDX"	"A1"	92	"413/500"	1301	306	" C "
"S"	2021-08-01 14:23:23	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	17	"412/412"	1300.5	296	" C "
"S"	2021-08-01 14:23:49	"G"	00:00:06.9	"A"	"900_226000584318"	"downstream"	70	0.8	"HDX"	"A1"	263	"452/652"	1302	322	" A "
"S"	2021-08-01 14:23:58	"G"	00:00:01.2	"A"	"900_226000584318"	"downstream"	13	0.8	"HDX"	"A1"	19	"433/450"	1300	310	" A "
"S"	2021-08-01 14:24:01	"G"	00:00:00.1	"A"	"900_226000584318"	"downstream"	2	0.8	"HDX"	"A1"	17	"420/423"	1300.5	293	" A "
"S"	2021-08-01 14:24:08	"G"	00:00:14.5	"R"	"0000_0000000168273013"	"downstream"	146	0.8	"HDX"	"A1"	64	"422/795"	1300	336	" E "
"S"	2021-08-01 14:24:28	"G"	00:00:02.1	"A"	"900_230000009506"	"downstream"	22	0.8	"HDX"	"A1"	59	"431/543"	1300	306	" C "
"S"	2021-08-01 14:24:33	"G"	00:00:01.8	"A"	"900_230000009506"	"downstream"	19	0.8	"HDX"	"A1"	21	"430/446"	1300	310	" C "
"S"	2021-08-01 14:24:37	"G"	00:00:00.0	"A"	"900_230000009506"	"downstream"	1	0.8	"HDX"	"A1"	20	"428/428"	1299.5	313	" C "
"S"	2021-08-01 14:25:10	"G"	00:00:02.6	"A"	"900_226000584318"	"downstream"	27	0.8	"HDX"	"A1"	331	"426/494"	1298	314	" A "
"S"	2021-08-01 14:25:14	"G"	00:00:02.5	"A"	"900_226000584318"	"downstream"	26	0.8	"HDX"	"A1"	14	"421/447"	1300.5	298	" A "
