DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-05-17 07:35:41.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:38:40.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:39:14.700	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 07:41:39.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:44:38.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 07:46:13.500	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 07:47:37.900	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 07:50:37.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:53:12.400	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 07:53:36.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 07:56:35.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 07:59:34.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:00:11.300	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 08:02:34.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:05:33.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 08:07:10.200	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 08:08:32.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 08:11:31.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:14:09.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 08:14:31.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:17:30.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:20:29.400	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 08:21:08.000	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 08:23:28.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:26:27.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:28:06.800	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 08:29:27.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:32:26.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:35:05.600	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 08:35:25.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 08:38:24.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 08:41:24.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
